"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты для калькулятора","Негативные сценарии","0","0","1","0","0"
"","Тесты для калькулятора","Позитивные сценарии","0","0","1","0","0"
