"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 06:37:47 GMT 2025","Tue May 20 06:37:47 GMT 2025","0","tests","test_example","TestCalculator","","","Проверка деления на ноль",""
"passed","Tue May 20 06:37:47 GMT 2025","Tue May 20 06:37:47 GMT 2025","0","tests","test_example","TestCalculator","","","Проверка сложения",""
